"Column Name","Label"
"B01001_023EA","Annotation of Estimate!!Total:!!Male:!!75 to 79 years"
"B01001_023M","Margin of Error!!Total:!!Male:!!75 to 79 years"
"B01001_023MA","Annotation of Margin of Error!!Total:!!Male:!!75 to 79 years"
"B01001_024E","Estimate!!Total:!!Male:!!80 to 84 years"
"B01001_024EA","Annotation of Estimate!!Total:!!Male:!!80 to 84 years"
"B01001_024M","Margin of Error!!Total:!!Male:!!80 to 84 years"
"B01001_024MA","Annotation of Margin of Error!!Total:!!Male:!!80 to 84 years"
"B01001_025E","Estimate!!Total:!!Male:!!85 years and over"
"B01001_025M","Margin of Error!!Total:!!Male:!!85 years and over"
"B01001_025MA","Annotation of Margin of Error!!Total:!!Male:!!85 years and over"
"B01001_025EA","Annotation of Estimate!!Total:!!Male:!!85 years and over"
"B01001_026E","Estimate!!Total:!!Female:"
"B01001_026EA","Annotation of Estimate!!Total:!!Female:"
"B01001_026M","Margin of Error!!Total:!!Female:"
"B01001_026MA","Annotation of Margin of Error!!Total:!!Female:"
"B01001_027E","Estimate!!Total:!!Female:!!Under 5 years"
"B01001_027EA","Annotation of Estimate!!Total:!!Female:!!Under 5 years"
"B01001_027M","Margin of Error!!Total:!!Female:!!Under 5 years"
"B01001_027MA","Annotation of Margin of Error!!Total:!!Female:!!Under 5 years"
"B01001_028E","Estimate!!Total:!!Female:!!5 to 9 years"
"B01001_028EA","Annotation of Estimate!!Total:!!Female:!!5 to 9 years"
"B01001_028M","Margin of Error!!Total:!!Female:!!5 to 9 years"
"B01001_028MA","Annotation of Margin of Error!!Total:!!Female:!!5 to 9 years"
"B01001_029E","Estimate!!Total:!!Female:!!10 to 14 years"
"B01001_029M","Margin of Error!!Total:!!Female:!!10 to 14 years"
"B01001_029MA","Annotation of Margin of Error!!Total:!!Female:!!10 to 14 years"
"B01001_029EA","Annotation of Estimate!!Total:!!Female:!!10 to 14 years"
"B01001_030E","Estimate!!Total:!!Female:!!15 to 17 years"
"B01001_030EA","Annotation of Estimate!!Total:!!Female:!!15 to 17 years"
"B01001_030M","Margin of Error!!Total:!!Female:!!15 to 17 years"
"B01001_030MA","Annotation of Margin of Error!!Total:!!Female:!!15 to 17 years"
"B01001_031E","Estimate!!Total:!!Female:!!18 and 19 years"
"B01001_031EA","Annotation of Estimate!!Total:!!Female:!!18 and 19 years"
"B01001_031M","Margin of Error!!Total:!!Female:!!18 and 19 years"
"B01001_031MA","Annotation of Margin of Error!!Total:!!Female:!!18 and 19 years"
"B01001_032E","Estimate!!Total:!!Female:!!20 years"
"B01001_032M","Margin of Error!!Total:!!Female:!!20 years"
"B01001_032MA","Annotation of Margin of Error!!Total:!!Female:!!20 years"
"B01001_032EA","Annotation of Estimate!!Total:!!Female:!!20 years"
"B01001_033E","Estimate!!Total:!!Female:!!21 years"
"B01001_033EA","Annotation of Estimate!!Total:!!Female:!!21 years"
"B01001_033M","Margin of Error!!Total:!!Female:!!21 years"
"B01001_033MA","Annotation of Margin of Error!!Total:!!Female:!!21 years"
"B01001_034E","Estimate!!Total:!!Female:!!22 to 24 years"
"B01001_034M","Margin of Error!!Total:!!Female:!!22 to 24 years"
"B01001_034MA","Annotation of Margin of Error!!Total:!!Female:!!22 to 24 years"
