"GEO_ID","NAME","B17021_001E","B17021_001EA","B17021_001M","B17021_001MA","B17021_002E","B17021_002EA","B17021_002M","B17021_002MA","B17021_003E","B17021_003M","B17021_003MA","B17021_003EA","B17021_004E","B17021_004EA","B17021_004M","B17021_004MA","B17021_005E","B17021_005EA","B17021_005M","B17021_005MA","B17021_006E","B17021_006EA","B17021_006M","B17021_006MA","B17021_007E","B17021_007EA","B17021_007M","B17021_007MA","B17021_008E","B17021_008EA","B17021_008M","B17021_008MA","B17021_009E","B17021_009EA","B17021_009M","B17021_009MA","B17021_010E","B17021_010EA","B17021_010M","B17021_010MA","B17021_011E","B17021_011EA","B17021_011M","B17021_011MA","B17021_012E","B17021_012M","B17021_012MA","B17021_012EA","B17021_013E","B17021_013EA","B17021_013M","B17021_013MA","B17021_014E","B17021_014M","B17021_014MA","B17021_014EA","B17021_015E","B17021_015EA","B17021_015M","B17021_015MA","B17021_016E","B17021_016EA","B17021_016M","B17021_016MA","B17021_017E","B17021_017EA","B17021_017M","B17021_017MA","B17021_018E","B17021_018EA","B17021_018M","B17021_018MA","B17021_019E","B17021_019EA","B17021_019M","B17021_019MA","B17021_020E","B17021_020EA","B17021_020M","B17021_020MA","B17021_021E","B17021_021EA","B17021_021M","B17021_021MA","B17021_022E","B17021_022EA","B17021_022M","B17021_022MA","B17021_023E","B17021_023M","B17021_023MA","B17021_023EA","B17021_024E","B17021_024EA","B17021_024M","B17021_024MA","B17021_025E","B17021_025EA","B17021_025M","B17021_025MA","B17021_026E","B17021_026EA","B17021_026M","B17021_026MA","B17021_027E","B17021_027EA","B17021_027M","B17021_027MA","B17021_028E","B17021_028EA","B17021_028M","B17021_028MA","B17021_029E","B17021_029EA","B17021_029M","B17021_029MA","B17021_030E","B17021_030EA","B17021_030M","B17021_030MA","B17021_031E","B17021_031M","B17021_031MA","B17021_031EA","B17021_032E","B17021_032EA","B17021_032M","B17021_032MA","B17021_033E","B17021_033EA","B17021_033M","B17021_033MA","B17021_034E","B17021_034EA","B17021_034M","B17021_034MA","B17021_035E","B17021_035M","B17021_035MA","B17021_035EA",
"1500000US516500103111","Block Group 1, Census Tract 103.11, Hampton city, Virginia","2068","null","352","null","139","null","109","null","75","89","null","null","14","null","24","null","14","null","24","null","0","null","13","null","61","null","85","null","61","null","85","null","35","null","56","null","26","null","31","null","0","null","13","null","0","13","null","null","0","null","13","null","64","69","null","null","39","null","59","null","39","null","59","null","0","null","13","null","25","null","35","null","1929","null","356","null","1601","null","377","null","921","null","367","null","921","null","367","null","0","13","null","null","680","null","381","null","12","null","23","null","12","null","23","null","0","null","13","null","668","null","377","null","668","null","377","null","0","null","13","null","328","133","null","null","295","null","123","null","210","null","102","null","85","null","84","null","33","34","null","null",
"1500000US516500103112","Block Group 2, Census Tract 103.11, Hampton city, Virginia","2290","null","414","null","247","null","215","null","145","188","null","null","0","null","13","null","0","null","13","null","0","null","13","null","145","null","188","null","14","null","26","null","0","null","13","null","14","null","26","null","131","null","185","null","121","183","null","null","10","null","16","null","102","108","null","null","102","null","108","null","83","null","101","null","19","null","30","null","0","null","13","null","2043","null","336","null","1714","null","345","null","905","null","243","null","905","null","243","null","0","13","null","null","809","null","329","null","104","null","94","null","104","null","94","null","0","null","13","null","705","null","318","null","667","null","313","null","38","null","55","null","329","112","null","null","276","null","99","null","256","null","98","null","20","null","23","null","53","51","null","null",
"1500000US516500103121","Block Group 1, Census Tract 103.12, Hampton city, Virginia","1592","null","338","null","77","null","56","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","77","56","null","null","77","null","56","null","77","null","56","null","0","null","13","null","0","null","13","null","1515","null","344","null","1418","null","349","null","848","null","358","null","848","null","358","null","0","13","null","null","570","null","263","null","128","null","124","null","102","null","102","null","26","null","34","null","442","null","280","null","442","null","280","null","0","null","13","null","97","79","null","null","74","null","53","null","53","null","43","null","21","null","32","null","23","35","null","null",
"1500000US516500103122","Block Group 2, Census Tract 103.12, Hampton city, Virginia","917","null","508","null","9","null","18","null","9","18","null","null","9","null","18","null","0","null","13","null","9","null","18","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","908","null","510","null","674","null","504","null","264","null","145","null","264","null","145","null","0","13","null","null","410","null","477","null","296","null","447","null","229","null","349","null","67","null","101","null","114","null","160","null","97","null","134","null","17","null","27","null","234","135","null","null","175","null","92","null","118","null","66","null","57","null","54","null","59","56","null","null",
"1500000US516500103123","Block Group 3, Census Tract 103.12, Hampton city, Virginia","939","null","384","null","40","null","48","null","27","44","null","null","0","null","13","null","0","null","13","null","0","null","13","null","27","null","44","null","0","null","13","null","0","null","13","null","0","null","13","null","27","null","44","null","27","44","null","null","0","null","13","null","13","20","null","null","13","null","20","null","13","null","20","null","0","null","13","null","0","null","13","null","899","null","375","null","767","null","387","null","711","null","383","null","694","null","373","null","17","29","null","null","56","null","69","null","13","null","23","null","13","null","23","null","0","null","13","null","43","null","66","null","43","null","66","null","0","null","13","null","132","78","null","null","98","null","49","null","74","null","41","null","24","null","27","null","34","39","null","null",
"1500000US516500103141","Block Group 1, Census Tract 103.14, Hampton city, Virginia","2132","null","365","null","468","null","247","null","341","219","null","null","30","null","43","null","22","null","41","null","8","null","13","null","311","null","217","null","57","null","79","null","31","null","49","null","26","null","32","null","254","null","200","null","220","193","null","null","34","null","53","null","127","117","null","null","120","null","116","null","110","null","115","null","10","null","12","null","7","null","10","null","1664","null","348","null","1214","null","327","null","702","null","208","null","702","null","208","null","0","13","null","null","512","null","298","null","130","null","143","null","107","null","115","null","23","null","32","null","382","null","272","null","349","null","251","null","33","null","31","null","450","187","null","null","352","null","163","null","305","null","162","null","47","null","41","null","98","81","null","null",
"1500000US516500103151","Block Group 1, Census Tract 103.15, Hampton city, Virginia","1496","null","276","null","206","null","132","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","206","132","null","null","110","null","94","null","95","null","97","null","15","null","25","null","96","null","83","null","1290","null","262","null","533","null","294","null","378","null","273","null","378","null","273","null","0","13","null","null","155","null","150","null","0","null","13","null","0","null","13","null","0","null","13","null","155","null","150","null","155","null","150","null","0","null","13","null","757","197","null","null","662","null","159","null","540","null","171","null","122","null","91","null","95","96","null","null",
"1500000US516500103152","Block Group 2, Census Tract 103.15, Hampton city, Virginia","1969","null","824","null","363","null","328","null","287","334","null","null","0","null","13","null","0","null","13","null","0","null","13","null","287","null","334","null","68","null","96","null","0","null","13","null","68","null","96","null","219","null","305","null","219","305","null","null","0","null","13","null","76","64","null","null","76","null","64","null","76","null","64","null","0","null","13","null","0","null","13","null","1606","null","687","null","981","null","654","null","302","null","341","null","302","null","341","null","0","13","null","null","679","null","570","null","477","null","553","null","477","null","553","null","0","null","13","null","202","null","199","null","202","null","199","null","0","null","13","null","625","286","null","null","486","null","170","null","407","null","158","null","79","null","95","null","139","170","null","null",
"1500000US516500103161","Block Group 1, Census Tract 103.16, Hampton city, Virginia","1496","null","660","null","180","null","194","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","180","194","null","null","35","null","38","null","26","null","32","null","9","null","18","null","145","null","186","null","1316","null","528","null","644","null","388","null","351","null","213","null","351","null","213","null","0","13","null","null","293","null","329","null","0","null","13","null","0","null","13","null","0","null","13","null","293","null","329","null","240","null","256","null","53","null","82","null","672","388","null","null","467","null","227","null","442","null","225","null","25","null","28","null","205","286","null","null",
"1500000US516500103162","Block Group 2, Census Tract 103.16, Hampton city, Virginia","1397","null","420","null","384","null","322","null","75","91","null","null","0","null","13","null","0","null","13","null","0","null","13","null","75","null","91","null","0","null","13","null","0","null","13","null","0","null","13","null","75","null","91","null","30","56","null","null","45","null","71","null","309","307","null","null","148","null","124","null","78","null","89","null","70","null","85","null","161","null","208","null","1013","null","341","null","568","null","306","null","127","null","124","null","127","null","124","null","0","13","null","null","441","null","286","null","108","null","122","null","108","null","122","null","0","null","13","null","333","null","256","null","333","null","256","null","0","null","13","null","445","203","null","null","359","null","152","null","282","null","148","null","77","null","83","null","86","94","null","null",
"1500000US516500103163","Block Group 3, Census Tract 103.16, Hampton city, Virginia","1061","null","373","null","90","null","70","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","90","70","null","null","25","null","32","null","25","null","32","null","0","null","13","null","65","null","59","null","971","null","379","null","497","null","370","null","393","null","343","null","393","null","343","null","0","13","null","null","104","null","161","null","104","null","161","null","104","null","161","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","474","168","null","null","442","null","164","null","351","null","183","null","91","null","75","null","32","35","null","null",
"1500000US516500104001","Block Group 1, Census Tract 104, Hampton city, Virginia","529","null","319","null","60","null","97","null","60","97","null","null","0","null","13","null","0","null","13","null","0","null","13","null","60","null","97","null","0","null","13","null","0","null","13","null","0","null","13","null","60","null","97","null","60","97","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","469","null","318","null","426","null","314","null","419","null","324","null","419","null","324","null","0","13","null","null","7","null","56","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","56","null","7","null","56","null","0","null","13","null","43","40","null","null","43","null","40","null","43","null","40","null","0","null","13","null","0","13","null","null",
"1500000US516500104002","Block Group 2, Census Tract 104, Hampton city, Virginia","1222","null","595","null","467","null","583","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","467","583","null","null","99","null","107","null","18","null","23","null","81","null","106","null","368","null","478","null","755","null","355","null","666","null","364","null","317","null","293","null","317","null","293","null","0","13","null","null","349","null","256","null","0","null","13","null","0","null","13","null","0","null","13","null","349","null","256","null","349","null","256","null","0","null","13","null","89","72","null","null","89","null","72","null","89","null","72","null","0","null","13","null","0","13","null","null",
